


Fecha Local,Fecha UTC,Direcci�n del Viento (grados),Direcci�n de r�faga (grados),Rapidez de viento (km/h),Rapidez de r�faga (km/h),Temperatura del Aire (�C),Humedad relativa (%),Presi�n Atmosf�rica (hpa),Precipitaci�n (mm),Radiaci�n Solar (W/m�),
2022-10-15 14:40:00,2022-10-15 19:40:00,252.0,197.0,6.9,11.4,24.8,43,779.5,0,877,
2022-10-15 14:30:00,2022-10-15 19:30:00,317.0,305.0,6.8,14.3,24.3,46,779.7,0,878,
2022-10-15 14:20:00,2022-10-15 19:20:00,14.0,14.0,6.6,10.2,23.9,47,779.8,0,884,
2022-10-15 14:10:00,2022-10-15 19:10:00,51.0,42.0,8.3,15.4,24.1,47,779.9,0,879,
2022-10-15 14:00:00,2022-10-15 19:00:00,120.0,151.0,6.9,11.4,24.5,47,780,0,918,
2022-10-15 13:50:00,2022-10-15 18:50:00,111.0,89.0,4.5,12,24.3,47,780.1,0,931,
2022-10-15 13:40:00,2022-10-15 18:40:00,222.0,200.0,6.3,11.4,23.9,48,780.2,0,942,
2022-10-15 13:30:00,2022-10-15 18:30:00,165.0,167.0,5.4,9.7,23.4,49,780.4,0,945,
2022-10-15 13:20:00,2022-10-15 18:20:00,223.0,256.0,6.6,10.8,22.9,51,780.6,0,946,
2022-10-15 13:10:00,2022-10-15 18:10:00,289.0,280.0,7.4,12,22.3,53,780.8,0,935,
2022-10-15 13:00:00,2022-10-15 18:00:00,355.0,319.0,8.9,16,21.7,54,781,0,919,
2022-10-15 12:50:00,2022-10-15 17:50:00,299.0,331.0,7.9,15.4,22.3,52,781.3,0,906,
2022-10-15 12:40:00,2022-10-15 17:40:00,251.0,248.0,6,12,22,53,781.4,0,904,
2022-10-15 12:30:00,2022-10-15 17:30:00,344.0,336.0,7.3,15.4,21.6,54,781.6,0,906,
2022-10-15 12:20:00,2022-10-15 17:20:00,274.0,229.0,5.4,8.5,21.4,56,781.7,0,912,
2022-10-15 12:10:00,2022-10-15 17:10:00,0.0,17.0,7.7,13.7,21.1,57,781.8,0,903,
2022-10-15 12:00:00,2022-10-15 17:00:00,319.0,30.0,5.4,10.8,21.3,57,781.9,0,883,
2022-10-15 11:50:00,2022-10-15 16:50:00,160.0,237.0,5.8,11.4,20.7,60,782,0,874,
2022-10-15 11:40:00,2022-10-15 16:40:00,2.0,112.0,3.9,10.2,20,62,782,0,866,
2022-10-15 11:30:00,2022-10-15 16:30:00,17.0,26.0,7.9,12,19.9,64,782.1,0,842,
2022-10-15 11:20:00,2022-10-15 16:20:00,301.0,31.0,5.2,13.1,20,66,782.2,0,810,
2022-10-15 11:10:00,2022-10-15 16:10:00,288.0,301.0,6.2,12.5,19.2,69,782.2,0,778,
2022-10-15 11:00:00,2022-10-15 16:00:00,328.0,326.0,5.8,10.2,19.1,71,782.3,0,736,
2022-10-15 10:50:00,2022-10-15 15:50:00,318.0,304.0,5,10.8,19,72,782.3,0,714,
2022-10-15 10:40:00,2022-10-15 15:40:00,329.0,331.0,4.8,8.5,19,73,782.3,0,681,
2022-10-15 10:30:00,2022-10-15 15:30:00,262.0,242.0,2.5,5.6,18.7,75,782.3,0,645,
2022-10-15 10:20:00,2022-10-15 15:20:00,288.0,312.0,3.9,7.4,17.9,78,782.3,0,609,
2022-10-15 10:10:00,2022-10-15 15:10:00,351.0,298.0,5.5,8.5,17.4,80,782.3,0,572,
2022-10-15 10:00:00,2022-10-15 15:00:00,21.0,348.0,5.2,8.5,17.3,82,782.2,0,531,
2022-10-15 09:50:00,2022-10-15 14:50:00,156.0,161.0,3.8,6.2,16.7,84,782.3,0,490,
2022-10-15 09:40:00,2022-10-15 14:40:00,2.0,9.0,6.1,12.5,16.3,86,782.2,0,452,
2022-10-15 09:30:00,2022-10-15 14:30:00,359.0,10.0,4.8,9.1,16.5,85,782.1,0,415,
2022-10-15 09:20:00,2022-10-15 14:20:00,8.0,30.0,4.2,8.5,16.5,86,782,0,370,
2022-10-15 09:10:00,2022-10-15 14:10:00,51.0,26.0,2,3.3,16.2,87,782,0,326,
2022-10-15 09:00:00,2022-10-15 14:00:00,349.0,308.0,2.5,5.6,15.8,91,781.9,0,287,
2022-10-15 08:50:00,2022-10-15 13:50:00,17.0,26.0,3.4,6.2,15.2,95,781.8,0,245,
2022-10-15 08:40:00,2022-10-15 13:40:00,18.0,26.0,2.5,5.6,15,96,781.8,0,205,
2022-10-15 08:30:00,2022-10-15 13:30:00,329.0,29.0,1.6,2.2,14.6,99,781.7,0,167,
2022-10-15 08:20:00,2022-10-15 13:20:00,335.0,269.0,0,0,13.8,100,781.7,0,125,
